,Label1,Label2,Count_normalized
323,His Kinase A (phospho-acceptor) domain,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",6.69
193,CRISPR associated protein Cas1,Reverse transcriptase (RNA-dependent DNA polymerase),5.69
204,PAM-interacting domain of CRISPR-associated endonuclease Cas9,REC lobe of CRISPR-associated endonuclease Cas9,6.38
6507,"Bacterial regulatory proteins, tetR family","Tetracyclin repressor-like, C-terminal domain",4.89
210,Bridge helix of CRISPR-associated endonuclease Cas9,REC lobe of CRISPR-associated endonuclease Cas9,6.05
4507,HipA N-terminal domain,HipA-like C-terminal domain,4.92
635,TonB dependent receptor,TonB-dependent Receptor Plug Domain,4.83
307,Alpha helical recognition lobe domain,Nuclease domain,5.18
7665,Cache domain,Methyl-accepting chemotaxis protein (MCP) signalling domain,5.34
156,DEAD/DEAH box helicase,"Type III restriction enzyme, res subunit",6.26
7228,Coiled stalk of trimeric autotransporter adhesin,YadA-like membrane anchor domain,5.07
11405,PPE family,Pentapeptide repeats (8 copies),4.57
548,Phage integrase SAM-like domain,Phage integrase family,5.35
639,Choline-binding repeat,Putative cell wall binding repeat,5.48
2937,PAS domain,PAS fold,6.21
157,Helicase conserved C-terminal domain,"Type III restriction enzyme, res subunit",6.09
275,Cas3 C-terminal domain,Helicase conserved C-terminal domain,5.95
272,Cas3 C-terminal domain,DEAD/DEAH box helicase,5.99
587,"KhpA/KhpB, KH domain",R3H domain,4.86
7234,Coiled stalk of trimeric autotransporter adhesin,Extended Signal Peptide of Type V secretion system,4.77
3507,Collagen triple helix repeat (20 copies),LPXTG cell wall anchor motif,4.67
322,PAS fold,Response regulator receiver domain,6.2
1882,"CRISPR RNA silencing complex Cmr2 subunit, second helical domain",Csm1 subunit domain B,4.84
7664,Cache domain,HAMP domain,5.21
7227,Extended Signal Peptide of Type V secretion system,YadA-like membrane anchor domain,4.7
549,Phage integrase SAM-like domain,"Phage integrase, N-terminal SAM-like domain",5.11
7236,Coiled stalk of trimeric autotransporter adhesin,YadA head domain repeat (2 copies),4.66
626,Cas3 C-terminal domain,"Cas3, HD domain",5.76
6516,Tn7-like transposition protein D,TniQ,4.47
329,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",PAS fold,6.38
159,"Cas3, HD domain","Type III restriction enzyme, res subunit",5.86
794,CRISPR associated protein Cas1,Domain of unknown function DUF83,4.67
325,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",PAS domain,6.23
7230,YadA head domain repeat (2 copies),YadA-like membrane anchor domain,4.58
1555,TPR repeat,Tetratricopeptide repeat,4.84
599,Jag N-terminus,R3H domain,4.65
3926,"Diguanylate cyclase, GGDEF domain",PAS fold,5.95
1428,4Fe-4S single cluster domain,Radical SAM superfamily,4.43
3514,Centromere-binding protein HTH domain,ParB/Sulfiredoxin domain,4.66
102,Starch-binding associating with outer membrane,SusD family,4.14
426,CRISPR-Cas9 WED domain,HNH endonuclease,6.16
338,His Kinase A (phospho-acceptor) domain,PAS domain,6.0
5591,Ankyrin repeat,Ankyrin repeats (3 copies),4.33
5233,"Bacterial regulatory proteins, gntR family",FCD domain,4.23
2551,GAF domain,PAS fold,5.83
416,"Diguanylate cyclase, GGDEF domain",Response regulator receiver domain,5.86
590,Jag N-terminus,"KhpA/KhpB, KH domain",4.51
425,CRISPR-Cas9 PI domain,HNH endonuclease,6.08
342,His Kinase A (phospho-acceptor) domain,PAS fold,6.09
1883,"CRISPR RNA silencing complex Cmr2 subunit, second helical domain",HD domain,4.74
318,PAS domain,Response regulator receiver domain,5.92
6,Recombinase,"Resolvase, N terminal domain",4.6
6137,Integrase core domain,Integrase zinc binding domain,4.34
551,Arm DNA-binding domain,Phage integrase SAM-like domain,4.6
1702,Prokaryotic N-terminal methylation motif,Type II transport protein GspH,3.99
424,CRISPR-Cas9 WED domain,RuvC endonuclease subdomain 3,5.94
3270,AAA domain,Domain of unknown function (DUF4143),4.69
317,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",Response regulator receiver domain,6.19
2552,GAF domain,PAS domain,5.63
419,KorB domain,ParB/Sulfiredoxin domain,4.45
600,ABC transporter,R3H domain,4.42
465,CRISPR-associated endonuclease Cas9 beta-hairpin domain,Topo homolgy domain in CRISPR-associated endonuclease Cas9,4.69
459,CRISPR-associated endonuclease Cas9 beta-hairpin domain,Cas9 C-terminal domain,4.69
458,Cas9 C-terminal domain,Topo homolgy domain in CRISPR-associated endonuclease Cas9,4.69
6145,Integrase zinc binding domain,RNase H-like domain found in reverse transcriptase,4.14
212,REC lobe of CRISPR-associated endonuclease Cas9,RuvC endonuclease subdomain 3,6.81
5593,Ankyrin repeat,Ankyrin repeats (many copies),4.11
2550,GAF domain,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",5.91
201,Bridge helix of CRISPR-associated endonuclease Cas9,HNH endonuclease,6.29
2299,Glycosyl transferases group 1,Glycosyltransferase Family 4,4.04
423,CRISPR-Cas9 PI domain,RuvC endonuclease subdomain 3,5.83
7241,Extended Signal Peptide of Type V secretion system,YadA head domain repeat (2 copies),4.17
8610,Four helix bundle sensory module for signal transduction,Methyl-accepting chemotaxis protein (MCP) signalling domain,4.2
316,His Kinase A (phospho-acceptor) domain,Response regulator receiver domain,5.92
13205,Actin like proteins N terminal domain,"Archaeal actin homologue MreB-like, C-terminal",3.76
602,ABC transporter transmembrane region,R3H domain,4.2
140,BspA type Leucine rich repeat region (6 copies),Secretion system C-terminal sorting domain,4.99
6138,Integrase core domain,RNase H-like domain found in reverse transcriptase,4.16
591,ABC transporter,"KhpA/KhpB, KH domain",4.26
1775,UvrD-like helicase C-terminal domain,UvrD/REP helicase N-terminal domain,4.44
6621,EAL domain,PAS fold,5.42
1438,GAF domain,Response regulator receiver domain,5.61
2553,GAF domain,His Kinase A (phospho-acceptor) domain,5.63
262,CRISPR-associated endonuclease Cas9 alpha-helical lobe,Nuclease domain,3.99
9329,"AefR-like transcriptional repressor, C-terminal domain","Bacterial regulatory proteins, tetR family",3.69
3715,"Diguanylate cyclase, GGDEF domain",PAS domain,5.55
266,CRISPR-associated endonuclease Cas9 alpha-helical lobe,RuvC nuclease domain,4.03
141,BspA type Leucine rich repeat region (6 copies),"Mycoplasma protein of unknown function, DUF285",4.72
3999,"Bacterial regulatory proteins, lacI family",Periplasmic binding protein-like domain,3.87
509,HTH-like domain,Integrase core domain,3.76
493,EAL domain,Response regulator receiver domain,5.32
593,ABC transporter transmembrane region,"KhpA/KhpB, KH domain",4.04
615,Histidine kinase,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",5.2
326,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",Recombinase,5.04
9363,CRISPR-associated protein (Cas_Cas02710),Domain of unknown function (DUF1887),3.71
208,PAM-interacting domain of CRISPR-associated endonuclease Cas9,RuvC endonuclease subdomain 3,6.51
608,ABC transporter,Jag N-terminus,3.99
9331,"AefR-like transcriptional repressor, C-terminal domain","Tetracyclin repressor-like, C-terminal domain",3.43
3925,"Diguanylate cyclase, GGDEF domain",EAL domain,5.08
164,DEAD/DEAH box helicase,HD domain,6.04
8616,Four helix bundle sensory module for signal transduction,HAMP domain,4.08
1703,Prokaryotic N-terminal methylation motif,"Type II secretion system (T2SS), protein I",3.43
11634,Leucine Rich Repeat,Leucine rich repeat,4.08
6133,RNase H-like domain found in reverse transcriptase,Reverse transcriptase (RNA-dependent DNA polymerase),4.17
50,"Bacterial regulatory helix-turn-helix protein, lysR family",LysR substrate binding domain,4.04
192,"Archaeal actin homologue MreB-like, C-terminal",CRISPR associated protein Cas1,3.91
191,Actin like proteins N terminal domain,CRISPR associated protein Cas1,3.91
6624,EAL domain,PAS domain,5.08
14274,"CRISPR-associated protein Cmr2, N-terminal",minimal CRISPR polymerase domain,2.83
11688,Calx-beta domain,Leucine Rich Repeat,3.93
3277,AAA domain,UvrD-like helicase C-terminal domain,4.51
2556,"Diguanylate cyclase, GGDEF domain",GAF domain,5.22
610,ABC transporter transmembrane region,Jag N-terminus,3.74
6310,Domain of unknown function (DUF4131),Sigma-70 region 2,3.81
6309,Competence protein,Sigma-70 region 2,3.81
401,"Diguanylate cyclase, GGDEF domain","Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",5.71
634,Outer membrane protein beta-barrel family,TonB-dependent Receptor Plug Domain,3.22
11689,Leucine Rich Repeat,Leucine rich repeat N-terminal domain,3.87
195,Actin like proteins N terminal domain,Reverse transcriptase (RNA-dependent DNA polymerase),3.83
196,"Archaeal actin homologue MreB-like, C-terminal",Reverse transcriptase (RNA-dependent DNA polymerase),3.83
7238,Coiled stalk of trimeric autotransporter adhesin,PGRS repeats,3.58
469,CRISPR-associated endonuclease Cas9 beta-hairpin domain,RuvC endonuclease subdomain 3,5.53
463,RuvC endonuclease subdomain 3,Topo homolgy domain in CRISPR-associated endonuclease Cas9,5.53
457,Cas9 C-terminal domain,RuvC endonuclease subdomain 3,5.53
460,Cas9 C-terminal domain,HNH endonuclease,5.67
472,CRISPR-associated endonuclease Cas9 beta-hairpin domain,HNH endonuclease,5.67
466,HNH endonuclease,Topo homolgy domain in CRISPR-associated endonuclease Cas9,5.67
327,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase","Resolvase, N terminal domain",4.86
6307,Competence protein,"Sigma-70, region 4",3.74
6308,Domain of unknown function (DUF4131),"Sigma-70, region 4",3.74
1699,Tetratricopeptide repeat,TolA binding protein trimerisation,3.58
136,BspA type Leucine rich repeat region (6 copies),Leucine Rich Repeat,4.38
518,Prealbumin-like fold domain,Spy0128-like isopeptide containing domain,3.71
339,His Kinase A (phospho-acceptor) domain,Recombinase,4.69
636,Outer membrane protein beta-barrel family,TonB dependent receptor,3.14
1639,CarboxypepD_reg-like domain,TonB-dependent Receptor Plug Domain,3.14
7237,Coiled stalk of trimeric autotransporter adhesin,PE family,3.58
974,"Mycoplasma protein of unknown function, DUF285",Secretion system C-terminal sorting domain,4.26
521,LPXTG cell wall anchor motif,Prealbumin-like fold domain,3.89
7232,PGRS repeats,YadA-like membrane anchor domain,3.5
1174,"Sigma-70 factor, region 1.2",Sigma-70 region 2,3.71
1643,CarboxypepD_reg-like domain,TonB dependent receptor,3.09
4306,Histidine kinase,Tetratricopeptide repeat,4.29
340,His Kinase A (phospho-acceptor) domain,"Resolvase, N terminal domain",4.64
1012,FecR protein,"FecR, C-terminal",3.22
3273,Domain of unknown function (DUF4143),UvrD-like helicase C-terminal domain,3.89
4640,"BRO family, N-terminal domain",ORF6C domain,2.83
3512,Centromere-binding protein HTH domain,KorB domain,3.3
7231,PE family,YadA-like membrane anchor domain,3.5
12592,3'-5' exonuclease,DNA polymerase family A,3.14
9116,Centromere-binding protein HTH domain,HTH domain found in ParB protein,3.76
143,BspA type Leucine rich repeat region (6 copies),Calx-beta domain,4.06
598,HhH-GPD superfamily base excision DNA repair protein,R3H domain,3.43
328,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",Recombinase zinc beta ribbon domain,4.42
6045,Transposase IS66 family,zinc-finger of transposase IS204/IS1001/IS1096/IS1165,3.04
1178,"Sigma-70 factor, region 1.2","Sigma-70, region 4",3.61
15766,DEAD_2,Helicase C-terminal domain,2.94
6043,Helix-turn-helix domain of transposase family ISL3,Transposase IS66 family,3.0
1164,CRISPR-associated protein (Cas_Cas2CT1978),DEAD/DEAH box helicase,4.42
477,HNH endonuclease,RRXRR protein,5.2
5537,"Bacterial regulatory proteins, lacI family",Glycosyl transferases group 1,3.47
7243,Extended Signal Peptide of Type V secretion system,PGRS repeats,3.33
7885,Leucine Rich Repeat,Leucine Rich repeats (2 copies),3.61
9339,ParB/Sulfiredoxin domain,RepB plasmid partitioning protein,3.5
345,Bridge helix of CRISPR-associated endonuclease Cas9,RuvC endonuclease subdomain 3,5.82
1171,CRISPR-associated protein (Cas_Cas2CT1978),"Cas3, HD domain",4.25
9115,HTH domain found in ParB protein,KorB domain,3.66
6041,zinc-finger binding domain of transposase IS66,zinc-finger of transposase IS204/IS1001/IS1096/IS1165,2.94
4007,"Bacterial regulatory proteins, lacI family",Periplasmic binding proteins and sugar binding domain of LacI family,3.26
7242,Extended Signal Peptide of Type V secretion system,PE family,3.33
408,"Diguanylate cyclase, GGDEF domain",His Kinase A (phospho-acceptor) domain,5.37
10420,Transposase,Transposase IS116/IS110/IS902 family,3.22
13224,Integrase,"Phage integrase, N-terminal",2.83
6039,Helix-turn-helix domain of transposase family ISL3,zinc-finger binding domain of transposase IS66,2.89
9330,"Bacterial regulatory proteins, tetR family","BetI-type transcriptional repressor, C-terminal",2.89
1705,"Type II secretion system (T2SS), protein I",Type II transport protein GspH,2.83
138,BspA type Leucine rich repeat region (6 copies),Leucine rich repeat,4.03
411,"Bacterial regulatory proteins, luxR family",Response regulator receiver domain,4.45
3520,HAMP domain,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",5.33
6044,Transposase,Transposase IS66 family,3.14
2302,Prealbumin-like fold domain,T-Q ester bond containing domain,3.37
6040,Transposase,zinc-finger binding domain of transposase IS66,3.09
2478,FtsX-like permease family,MacB-like periplasmic core domain,3.14
682,Family of unknown function (DUF5906),Toprim-like,3.66
3224,Recombinase zinc beta ribbon domain,"Resolvase, N terminal domain",3.56
618,His Kinase A (phospho-acceptor) domain,Histidine kinase,4.69
589,HhH-GPD superfamily base excision DNA repair protein,"KhpA/KhpB, KH domain",3.3
3141,"CAAX prenyl protease N-terminal, five membrane helices",Sigma-70 region 2,3.22
8609,Methyl-accepting chemotaxis protein (MCP) signalling domain,Single Cache domain 2,3.22
10047,DEAD/DEAH box helicase,Helicase C-terminal domain,4.23
1173,Sigma-70 region 2,Sigma-70 region 3,3.47
7884,Leucine Rich repeats (2 copies),Leucine rich repeat,3.4
11525,Pilin (bacterial filament),Prokaryotic N-terminal methylation motif,3.04
1226,Domain of unknown function (DUF6538),"Phage integrase, N-terminal SAM-like domain",3.4
14671,FIVAR domain,GA module,2.94
3272,Domain of unknown function (DUF4143),UvrD/REP helicase N-terminal domain,3.58
594,Fic/DOC family,"KhpA/KhpB, KH domain",3.22
8613,Cache domain,Four helix bundle sensory module for signal transduction,3.4
2077,Cna protein B-type domain,Prealbumin-like fold domain,3.53
2417,CRISPR Cas6 N-terminal domain,"Lantibiotic dehydratase, N terminus",2.83
2416,CRISPR Cas6 N-terminal domain,Lantibiotic biosynthesis dehydratase C-term,2.83
165,HD domain,Helicase conserved C-terminal domain,5.77
1231,Integrase,Phage integrase family,3.56
3535,AraC-like ligand binding domain,Zincin-like metallopeptidase,3.09
362,"Bacterial regulatory helix-turn-helix protein, lysR family",PRD domain,3.26
371,LysR substrate binding domain,PRD domain,3.26
2084,Prealbumin-like fold domain,RHS Repeat,3.4
4643,ORF6C domain,Phage antirepressor protein KilAC domain,2.56
3142,Peptidase family M48,Sigma-70 region 2,3.22
7360,MatE,Polysaccharide biosynthesis C-terminal domain,2.56
603,Fic/DOC family,R3H domain,3.22
2109,MacB-like periplasmic core domain,Sigma-70 region 2,3.56
3440,D5 N terminal like,Toprim-like,3.58
2353,"Bacterial regulatory proteins, gntR family",UTRA domain,2.94
671,Choline-binding repeat,Y_Y_Y domain,3.71
17741,Integrase zinc binding domain,Reverse transcriptase-like,3.04
7407,"CDC6, C terminal winged helix domain",Helix-hairpin-helix domain,2.94
7184,50S ribosome-binding GTPase,MnmE helical domain,2.94
4642,Phage antirepressor protein KilAC domain,Phage regulatory protein Rha (Phage_pRha),2.48
3523,AraC-like ligand binding domain,N-terminal domain of anti-restriction factor ArdC,3.09
6280,3'-5' exonuclease,UvrD-like helicase C-terminal domain,3.33
6281,DNA polymerase family A,UvrD-like helicase C-terminal domain,3.33
972,Divergent InlB B-repeat domain,Secretion system C-terminal sorting domain,4.13
3139,"CAAX prenyl protease N-terminal, five membrane helices","Sigma-70, region 4",3.14
7239,Coiled stalk of trimeric autotransporter adhesin,S-layer homology domain,3.78
2100,FtsX-like permease family,Sigma-70 region 2,3.56
8785,GAG-pre-integrase domain,Integrase core domain,2.89
2325,Prealbumin-like fold domain,von Willebrand factor type A domain,3.47
6132,Integrase zinc binding domain,Reverse transcriptase (RNA-dependent DNA polymerase),3.71
4192,DnaB-like helicase N terminal domain,UvrD-like helicase C-terminal domain,3.4
8345,HTH domain,WYL domain,3.43
2420,CRISPR-associated endoribonuclease Cas6,Lantibiotic biosynthesis dehydratase C-term,2.83
2421,CRISPR-associated endoribonuclease Cas6,"Lantibiotic dehydratase, N terminus",2.83
3508,Methyl-accepting chemotaxis protein (MCP) signalling domain,ParB/Sulfiredoxin domain,4.34
3276,AAA domain,UvrD/REP helicase N-terminal domain,3.97
6206,Helix-turn-helix,ParB/Sulfiredoxin domain,4.08
2530,AAA ATPase domain,"CDC6, C terminal winged helix domain",3.09
17881,RNase H-like domain found in reverse transcriptase,Reverse transcriptase-like,3.0
3140,Peptidase family M48,"Sigma-70, region 4",3.14
7858,PGRS repeats,YadA head domain repeat (2 copies),3.09
6205,HTH domain found in ParB protein,Helix-turn-helix,3.95
2199,Bacterial transferase hexapeptide (six repeats),Maltose acetyltransferase,2.4
2195,Bacterial transferase hexapeptide (six repeats),Hexapeptide repeat of succinyl-transferase,2.4
2317,Prealbumin-like fold domain,Thioester domain,3.14
3,Helix-turn-helix domain of resolvase,"Resolvase, N terminal domain",3.18
1145,BspA type Leucine rich repeat region (6 copies),CHU_C Type IX secretion signal domain,3.93
1320,CRISPR associated protein Cas1,Domain of unknown function (DUF4143),3.76
167,"Cas3, HD domain",HD domain,5.55
2110,MacB-like periplasmic core domain,"Sigma-70, region 4",3.47
1177,Sigma-70 region 3,"Sigma-70, region 4",3.33
1200,BclA C-terminal domain,Collagen triple helix repeat (20 copies),2.64
10931,IS66 C-terminal element,Transposase IS66 family,2.71
364,"Bacterial regulatory helix-turn-helix protein, lysR family","Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2",3.04
373,LysR substrate binding domain,"Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2",3.04
1748,TrkA-C domain,Voltage gated chloride channel,2.77
704,Poxvirus D5 protein-like,Toprim-like,3.33
6154,RNase H-like domain found in reverse transcriptase,Zinc knuckle,2.94
18621,Ankyrin repeats (3 copies),"Zinc finger, C3HC4 type (RING finger)",2.94
516,Integrase core domain,Reverse transcriptase (RNA-dependent DNA polymerase),3.89
20005,Calx-beta domain,Leucine rich repeat N-terminal domain,3.3
2101,FtsX-like permease family,"Sigma-70, region 4",3.47
3741,Helicase conserved C-terminal domain,WYL domain,4.56
2738,EAL domain,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",5.12
3221,Recombinase,Recombinase zinc beta ribbon domain,3.4
1464,"Initiator Replication protein, WH1","Purple acid Phosphatase, N-terminal domain",3.47
1462,"Initiator Rep protein, WH2","Purple acid Phosphatase, N-terminal domain",3.47
7857,PE family,YadA head domain repeat (2 copies),3.09
6373,Peptidase dimerisation domain,Radical SAM superfamily,2.77
6374,Peptidase family M20/M25/M40,Radical SAM superfamily,2.77
5556,Alcohol dehydrogenase GroES-like domain,Glycosyltransferase Family 4,2.77
5555,Glycosyltransferase Family 4,Zinc-binding dehydrogenase,2.77
9899,MalT-like TPR region,Tetratricopeptide repeat,3.04
606,HhH-GPD superfamily base excision DNA repair protein,Jag N-terminus,3.04
1686,Glycosyl hydrolases family 2,"Initiator Rep protein, WH2",3.89
1687,Glycosyl hydrolases family 2,"Initiator Replication protein, WH1",3.89
7233,S-layer homology domain,YadA-like membrane anchor domain,3.66
4191,PD-(D/E)XK nuclease superfamily,UvrD-like helicase C-terminal domain,3.47
6046,Transposase IS66 family,zinc-finger binding domain of transposase IS66,2.71
14674,Domain of Unknown Function (DUF1542),GA module,2.3
597,Helix-hairpin-helix motif,R3H domain,3.37
5538,Glycosyl transferases group 1,Periplasmic binding protein-like domain,3.04
613,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",Tetratricopeptide repeat,4.98
3744,DEAD/DEAH box helicase,WYL domain,4.6
5943,Autotransporter beta-domain,BspA type Leucine rich repeat region (6 copies),3.69
8615,HAMP domain,Single Cache domain 2,3.14
964,"Initiator Replication protein, WH1",Replication initiator protein A,3.33
966,"Initiator Rep protein, WH2",Replication initiator protein A,3.33
2263,FIVAR domain,Subtilase family,3.5
7185,GTP-binding protein TrmE N-terminus,MnmE helical domain,2.64
137,BspA type Leucine rich repeat region (6 copies),Leucine rich repeat N-terminal domain,3.76
5546,Alcohol dehydrogenase GroES-like domain,Glycosyl transferases group 1,2.77
5545,Glycosyl transferases group 1,Zinc-binding dehydrogenase,2.77
11410,PGRS repeats,PPE family,2.83
2,Helix-turn-helix domain of resolvase,Recombinase,3.09
9908,MalT-like TPR region,TPR repeat,2.77
561,"CRISPR-associated endonuclease Cas9, C-terminal domain",HNH endonuclease,4.41
13729,Acyl-ACP thioesterase C-terminal domain,Acyl-ACP thioesterase N-terminal domain,2.2
6491,GHMP kinases C terminal,GHMP kinases N terminal domain,2.56
1878,Biotin-lipoyl like,"Initiator Replication protein, WH1",3.37
1879,Biotin-lipoyl like,"Initiator Rep protein, WH2",3.37
2441,Helix-turn-helix of DDE superfamily endonuclease,Transposase domain (DUF772),2.3
3605,Autotransporter beta-domain,"Mycoplasma protein of unknown function, DUF285",3.37
2657,BspA type Leucine rich repeat region (6 copies),SprB repeat,3.69
1167,Cas3 C-terminal domain,"Type III restriction enzyme, res subunit",4.19
9332,"BetI-type transcriptional repressor, C-terminal","Tetracyclin repressor-like, C-terminal domain",2.56
660,Choline-binding repeat,"WD domain, G-beta repeat",3.5
7178,Integrase core domain,"Mu transposase, C-terminal",2.94
2577,"Group II intron, maturase-specific domain",Reverse transcriptase (RNA-dependent DNA polymerase),3.26
2219,"Gram-positive pilin backbone subunit 2, Cna-B-like domain",RHS Repeat,2.77
1180,"Sigma-70, region 4","Uncharacterised 5xTM membrane BCR, YitT family COG1284",2.94
5547,"Bacterial regulatory proteins, lacI family",Glycosyltransferase Family 4,3.09
4272,CRISPR-associated protein (Cas_Cas2CT1978),Helicase conserved C-terminal domain,4.14
341,His Kinase A (phospho-acceptor) domain,Recombinase zinc beta ribbon domain,4.01
1176,Sigma-70 region 2,"Uncharacterised 5xTM membrane BCR, YitT family COG1284",2.94
11409,PE family,PPE family,2.83
3454,Leucine Rich Repeat,"Mycoplasma protein of unknown function, DUF285",3.64
1230,Phage integrase family,"Phage integrase, N-terminal",3.26
672,Choline-binding repeat,N-acetylmuramoyl-L-alanine amidase,3.69
11403,PGRS repeats,Pentapeptide repeats (8 copies),2.83
2442,Helix-turn-helix of DDE superfamily endonuclease,Transposase DDE domain,2.3
15416,Ankyrin repeats (many copies),Inward rectifier potassium channel C-terminal domain,2.56
2743,EAL domain,His Kinase A (phospho-acceptor) domain,4.86
4099,GDSL-like Lipase/Acylhydrolase family,Putative cell wall binding repeat,3.43
409,Response regulator receiver domain,"Transcriptional regulatory protein, C terminal",4.08
462,Cas9 C-terminal domain,RRXRR protein,3.53
474,CRISPR-associated endonuclease Cas9 beta-hairpin domain,RRXRR protein,3.53
468,RRXRR protein,Topo homolgy domain in CRISPR-associated endonuclease Cas9,3.53
7188,50S ribosome-binding GTPase,GTP-binding protein TrmE N-terminus,2.64
4398,Two component regulator propeller,Y_Y_Y domain,2.94
1630,Secretin and TonB N terminus short domain,TonB dependent receptor,2.56
11693,Leucine rich repeat,Leucine rich repeat N-terminal domain,3.22
133,BspA type Leucine rich repeat region (6 copies),Divergent InlB B-repeat domain,4.13
11687,Leucine Rich Repeat,Secretion system C-terminal sorting domain,3.83
6699,"DNA polymerase III, delta subunit",DNA topoisomerase,2.71
4637,"BRO family, N-terminal domain",Phage antirepressor protein KilAC domain,2.3
1302,CHC2 zinc finger,Toprim-like,3.33
7223,Helix-turn-helix domain of transposase family ISL3,Transposase,2.77
17742,Integrase core domain,Reverse transcriptase-like,2.94
1680,"Glycosyl hydrolases family 2, TIM barrel domain","Initiator Replication protein, WH1",3.89
1679,"Glycosyl hydrolases family 2, TIM barrel domain","Initiator Rep protein, WH2",3.89
18622,Ankyrin repeats (many copies),"Zinc finger, C3HC4 type (RING finger)",2.77
7605,Protein of unknown function (DUF 659),Tetratricopeptide repeat,3.0
2557,EAL domain,GAF domain,4.53
6334,Outer membrane usher protein,TonB dependent receptor,2.56
7224,Helix-turn-helix domain of transposase family ISL3,zinc-finger of transposase IS204/IS1001/IS1096/IS1165,2.56
7359,MatE,Polysaccharide biosynthesis protein,2.2
11402,PE family,Pentapeptide repeats (8 copies),2.83
9366,Centromere-binding protein HTH domain,RepB plasmid partitioning protein,2.64
3036,LysR substrate binding domain,UvrD-like helicase C-terminal domain,3.56
3035,"Bacterial regulatory helix-turn-helix protein, lysR family",UvrD-like helicase C-terminal domain,3.56
3614,Autotransporter beta-domain,Secretion system C-terminal sorting domain,3.47
588,Helix-hairpin-helix motif,"KhpA/KhpB, KH domain",3.22
7886,Leucine Rich repeats (2 copies),Leucine rich repeat N-terminal domain,3.04
965,DnaA N-terminal domain,"Initiator Replication protein, WH1",3.33
967,DnaA N-terminal domain,"Initiator Rep protein, WH2",3.33
4106,Choline-binding repeat,GDSL-like Lipase/Acylhydrolase family,3.43
1228,Integrase,"Phage integrase, N-terminal SAM-like domain",3.26
2525,ATPase family associated with various cellular activities (AAA),"CDC6, C terminal winged helix domain",3.0
7065,impB/mucB/samB family,impB/mucB/samB family C-terminal domain,2.4
6477,HlyD family secretion protein,"Initiator Replication protein, WH1",3.18
6478,HlyD family secretion protein,"Initiator Rep protein, WH2",3.18
10783,Fic/DOC family N-terminal,"KhpA/KhpB, KH domain",2.71
