,Unnamed: 0,Label1,Label2,Count,Total_Label_1,Total_Label_2,p_value,p_value_fdr,Count_normalized
3926,3926,"Diguanylate cyclase, GGDEF domain",PAS fold,384,2991,4419,1.1921665604924862e-146,2.4406364328022913e-144,5.95
1428,1428,4Fe-4S single cluster domain,Radical SAM superfamily,83,327,439,6.988163044497191e-140,1.4166102673634158e-137,4.43
3514,3514,Centromere-binding protein HTH domain,ParB/Sulfiredoxin domain,105,228,1944,5.522289886407769e-139,1.1085862910801303e-136,4.66
102,102,Starch-binding associating with outer membrane,SusD family,62,191,191,3.5064323152676016e-137,6.971394325268096e-135,4.14
426,426,CRISPR-Cas9 WED domain,HNH endonuclease,472,1115,21075,3.771628621269807e-137,7.427234762094838e-135,6.16
338,338,His Kinase A (phospho-acceptor) domain,PAS domain,404,4527,3511,2.6220368695452167e-134,5.114703429394949e-132,6.0
5591,5591,Ankyrin repeat,Ankyrin repeats (3 copies),75,210,512,5.845024557886022e-134,1.1295100260131708e-131,4.33
5233,5233,"Bacterial regulatory proteins, gntR family",FCD domain,68,357,192,1.2264965341448495e-132,2.348173040417876e-130,4.23
2551,2551,GAF domain,PAS fold,338,2663,4419,2.5289251778823405e-127,4.668802312774389e-125,5.83
416,416,"Diguanylate cyclase, GGDEF domain",Response regulator receiver domain,349,2991,4193,3.0242898344318628e-127,5.533915124473241e-125,5.86
590,590,Jag N-terminus,"KhpA/KhpB, KH domain",90,461,613,3.208894547301037e-126,5.8202028556617135e-124,4.51
425,425,CRISPR-Cas9 PI domain,HNH endonuclease,435,1029,21075,3.315362121000193e-126,5.961021093558347e-124,6.08
342,342,His Kinase A (phospho-acceptor) domain,PAS fold,442,4527,4419,4.0263384770140306e-125,7.17694833527751e-123,6.09
1883,1883,"CRISPR RNA silencing complex Cmr2 subunit, second helical domain",HD domain,113,250,3234,3.0834512632799484e-123,5.357690905112563e-121,4.74
318,318,PAS domain,Response regulator receiver domain,371,3511,4193,7.493238657885828e-122,1.291147464409211e-119,5.92
6,6,Recombinase,"Resolvase, N terminal domain",98,708,700,6.92782896496453e-116,1.1838571860212528e-113,4.6
6137,6137,Integrase core domain,Integrase zinc binding domain,76,588,325,1.5957596257001259e-114,2.682562746390366e-112,4.34
551,551,Arm DNA-binding domain,Phage integrase SAM-like domain,98,1054,512,1.6205444129670283e-112,2.6384249470015157e-110,4.6
1702,1702,Prokaryotic N-terminal methylation motif,Type II transport protein GspH,53,340,124,7.242921179347614e-110,1.1609448157005473e-107,3.99
424,424,CRISPR-Cas9 WED domain,RuvC endonuclease subdomain 3,378,1115,16288,2.2385685654904723e-109,3.560529402203576e-107,5.94
3270,3270,AAA domain,Domain of unknown function (DUF4143),108,1791,466,1.2250749815292853e-108,1.9190057115970479e-106,4.69
317,317,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",Response regulator receiver domain,489,6352,4193,1.3784644106812017e-108,2.143045760876331e-106,6.19
2552,2552,GAF domain,PAS domain,279,2663,3511,1.8917591180241535e-108,2.919097259954136e-106,5.63
419,419,KorB domain,ParB/Sulfiredoxin domain,85,212,1944,4.0216225221412815e-106,6.114344771346713e-104,4.45
600,600,ABC transporter,R3H domain,82,493,681,8.494436560617793e-105,1.2727497446658994e-102,4.42
465,465,CRISPR-associated endonuclease Cas9 beta-hairpin domain,Topo homolgy domain in CRISPR-associated endonuclease Cas9,108,937,937,9.10319486968e-105,1.3349415625558394e-102,4.69
459,459,CRISPR-associated endonuclease Cas9 beta-hairpin domain,Cas9 C-terminal domain,108,937,937,9.10319486968e-105,1.3349415625558394e-102,4.69
458,458,Cas9 C-terminal domain,Topo homolgy domain in CRISPR-associated endonuclease Cas9,108,937,937,9.10319486968e-105,1.3349415625558394e-102,4.69
6145,6145,Integrase zinc binding domain,RNase H-like domain found in reverse transcriptase,62,325,331,7.566824131700525e-104,1.1018255110645895e-101,4.14
212,212,REC lobe of CRISPR-associated endonuclease Cas9,RuvC endonuclease subdomain 3,909,4506,16288,4.104927704169161e-103,5.935495813923479e-101,6.81
5593,5593,Ankyrin repeat,Ankyrin repeats (many copies),60,210,463,6.172379367134371e-103,8.862936678766486e-101,4.11
2550,2550,GAF domain,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",368,2663,6352,1.3305540040778004e-102,1.8973700098149436e-100,5.91
201,201,Bridge helix of CRISPR-associated endonuclease Cas9,HNH endonuclease,540,1651,21075,1.9768187496284416e-102,2.7996357045251565e-100,6.29
2299,2299,Glycosyl transferases group 1,Glycosyltransferase Family 4,56,316,260,3.225689199810286e-98,4.3879983937156095e-96,4.04
423,423,CRISPR-Cas9 PI domain,RuvC endonuclease subdomain 3,341,1029,16288,1.1403517920199486e-95,1.5411146407579398e-93,5.83
7241,7241,Extended Signal Peptide of Type V secretion system,YadA head domain repeat (2 copies),64,462,390,1.140366858526436e-92,1.5311276320617607e-90,4.17
8610,8610,Four helix bundle sensory module for signal transduction,Methyl-accepting chemotaxis protein (MCP) signalling domain,66,188,1280,4.969624523503654e-90,6.629479114353875e-88,4.2
316,316,His Kinase A (phospho-acceptor) domain,Response regulator receiver domain,371,4527,4193,3.364437516039416e-89,4.459389392253013e-87,5.92
13205,13205,Actin like proteins N terminal domain,"Archaeal actin homologue MreB-like, C-terminal",42,169,169,3.908549726086736e-89,5.147584884477417e-87,3.76
602,602,ABC transporter transmembrane region,R3H domain,66,341,681,4.803352930230217e-89,6.2860081353398866e-87,4.2
140,140,BspA type Leucine rich repeat region (6 copies),Secretion system C-terminal sorting domain,146,1981,1403,8.471121108255716e-89,1.1016186865119713e-86,4.99
6138,6138,Integrase core domain,RNase H-like domain found in reverse transcriptase,63,588,331,1.1105467186539464e-88,1.435173406350478e-86,4.16
591,591,ABC transporter,"KhpA/KhpB, KH domain",70,493,613,1.1884758358479678e-87,1.5263425377533187e-85,4.26
1775,1775,UvrD-like helicase C-terminal domain,UvrD/REP helicase N-terminal domain,84,967,601,1.6436335395884108e-87,2.097864857905529e-85,4.44
6621,6621,EAL domain,PAS fold,224,1711,4419,7.903240856163557e-87,9.964348242859382e-85,5.42
1438,1438,GAF domain,Response regulator receiver domain,272,2663,4193,1.1647544864150412e-85,1.4596138494305337e-83,5.61
2553,2553,GAF domain,His Kinase A (phospho-acceptor) domain,279,2663,4527,6.204766964882903e-83,7.682393205561903e-81,5.63
262,262,CRISPR-associated endonuclease Cas9 alpha-helical lobe,Nuclease domain,53,139,906,6.609084670999979e-83,8.1342883179920565e-81,3.99
9329,9329,"AefR-like transcriptional repressor, C-terminal domain","Bacterial regulatory proteins, tetR family",39,76,392,1.7408342882555146e-82,2.1298953004887142e-80,3.69
3715,3715,"Diguanylate cyclase, GGDEF domain",PAS domain,257,2991,3511,3.6319602324397e-81,4.4175318662444516e-79,5.55
266,266,CRISPR-associated endonuclease Cas9 alpha-helical lobe,RuvC nuclease domain,55,139,1167,6.02811131685009e-81,7.289079397573644e-79,4.03
141,141,BspA type Leucine rich repeat region (6 copies),"Mycoplasma protein of unknown function, DUF285",111,1981,823,9.854029718382328e-80,1.1846033284127406e-77,4.72
3999,3999,"Bacterial regulatory proteins, lacI family",Periplasmic binding protein-like domain,47,405,230,8.254799632090264e-76,9.8094535628006e-74,3.87
509,509,HTH-like domain,Integrase core domain,42,102,588,9.384927707831339e-76,1.1088694297990204e-73,3.76
493,493,EAL domain,Response regulator receiver domain,203,1711,4193,4.496452767456951e-75,5.252720557780078e-73,5.32
593,593,ABC transporter transmembrane region,"KhpA/KhpB, KH domain",56,341,613,6.009088983062245e-74,6.94133703367475e-72,4.04
615,615,Histidine kinase,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",180,960,6352,5.594437748172196e-71,6.286749419508506e-69,5.2
326,326,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",Recombinase,154,6352,708,3.724723784795883e-70,4.163033172876998e-68,5.04
9363,9363,CRISPR-associated protein (Cas_Cas02710),Domain of unknown function (DUF1887),40,282,226,1.6745165115428672e-68,1.8515496208113296e-66,3.71
208,208,PAM-interacting domain of CRISPR-associated endonuclease Cas9,RuvC endonuclease subdomain 3,670,3496,16288,9.055730540129109e-67,9.907160866574052e-65,6.51
608,608,ABC transporter,Jag N-terminus,53,493,461,1.5324922404185352e-66,1.667754845007055e-64,3.99
9331,9331,"AefR-like transcriptional repressor, C-terminal domain","Tetracyclin repressor-like, C-terminal domain",30,76,261,1.0688916174986974e-64,1.1392511327330188e-62,3.43
3925,3925,"Diguanylate cyclase, GGDEF domain",EAL domain,159,2991,1711,4.938622827868368e-64,5.183548437148946e-62,5.08
164,164,DEAD/DEAH box helicase,HD domain,419,8905,3234,8.494302746376679e-64,8.870540297314675e-62,6.04
8616,8616,Four helix bundle sensory module for signal transduction,HAMP domain,58,188,2068,2.4291454382752217e-63,2.523991971216923e-61,4.08
1703,1703,Prokaryotic N-terminal methylation motif,"Type II secretion system (T2SS), protein I",30,340,67,3.472417127649234e-63,3.589958447420161e-61,3.43
11634,11634,Leucine Rich Repeat,Leucine rich repeat,58,756,482,5.913412937879117e-63,6.0530514513131934e-61,4.08
6133,6133,RNase H-like domain found in reverse transcriptase,Reverse transcriptase (RNA-dependent DNA polymerase),64,331,1632,6.714784677986292e-62,6.805960920917772e-60,4.17
50,50,"Bacterial regulatory helix-turn-helix protein, lysR family",LysR substrate binding domain,56,589,589,4.3469679742280965e-61,4.384500331859237e-59,4.04
192,192,"Archaeal actin homologue MreB-like, C-terminal",CRISPR associated protein Cas1,49,169,1386,1.1979479655321736e-60,1.1966169122371377e-58,3.91
191,191,Actin like proteins N terminal domain,CRISPR associated protein Cas1,49,169,1386,1.1979479655321736e-60,1.1966169122371377e-58,3.91
6624,6624,EAL domain,PAS domain,160,1711,3511,1.6821737124151877e-55,1.640674804321172e-53,5.08
14274,14274,"CRISPR-associated protein Cmr2, N-terminal",minimal CRISPR polymerase domain,16,30,30,1.0405772204021312e-54,1.010141558040135e-52,2.83
11688,11688,Calx-beta domain,Leucine Rich Repeat,50,413,756,1.5591899928728596e-54,1.5065126861043046e-52,3.93
3277,3277,AAA domain,UvrD-like helicase C-terminal domain,90,1791,967,1.6623976505106684e-54,1.5987626148655394e-52,4.51
2556,2556,"Diguanylate cyclase, GGDEF domain",GAF domain,184,2991,2663,2.2855145598600426e-54,2.187851136769727e-52,5.22
610,610,ABC transporter transmembrane region,Jag N-terminus,41,341,461,1.0774504666795723e-53,1.0219469403455742e-51,3.74
6310,6310,Domain of unknown function (DUF4131),Sigma-70 region 2,44,158,1441,5.653816751207054e-53,5.3138167711231023e-51,3.81
6309,6309,Competence protein,Sigma-70 region 2,44,158,1441,5.653816751207054e-53,5.3138167711231023e-51,3.81
401,401,"Diguanylate cyclase, GGDEF domain","Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",301,2991,6352,8.063145070059705e-53,7.54396609111423e-51,5.71
634,634,Outer membrane protein beta-barrel family,TonB-dependent Receptor Plug Domain,24,54,286,1.6115370273594864e-52,1.5009797799419866e-50,3.22
11689,11689,Leucine Rich Repeat,Leucine rich repeat N-terminal domain,47,756,395,5.828661728129129e-51,5.3803231496663375e-49,3.87
195,195,Actin like proteins N terminal domain,Reverse transcriptase (RNA-dependent DNA polymerase),45,169,1632,9.556298785587317e-51,8.743167698654378e-49,3.83
196,196,"Archaeal actin homologue MreB-like, C-terminal",Reverse transcriptase (RNA-dependent DNA polymerase),45,169,1632,9.556298785587317e-51,8.743167698654378e-49,3.83
7238,7238,Coiled stalk of trimeric autotransporter adhesin,PGRS repeats,35,627,163,1.1485775114579886e-50,1.0462174979919307e-48,3.58
469,469,CRISPR-associated endonuclease Cas9 beta-hairpin domain,RuvC endonuclease subdomain 3,250,937,16288,1.7436845343486654e-50,1.5675723963794503e-48,5.53
463,463,RuvC endonuclease subdomain 3,Topo homolgy domain in CRISPR-associated endonuclease Cas9,250,16288,937,1.7436845343486652e-50,1.5675723963794503e-48,5.53
457,457,Cas9 C-terminal domain,RuvC endonuclease subdomain 3,250,937,16288,1.7436845343486654e-50,1.5675723963794503e-48,5.53
460,460,Cas9 C-terminal domain,HNH endonuclease,290,937,21075,4.267332999744962e-50,3.786937529430326e-48,5.67
472,472,CRISPR-associated endonuclease Cas9 beta-hairpin domain,HNH endonuclease,290,937,21075,4.267332999744962e-50,3.786937529430326e-48,5.67
466,466,HNH endonuclease,Topo homolgy domain in CRISPR-associated endonuclease Cas9,290,21075,937,4.267332999744963e-50,3.786937529430326e-48,5.67
327,327,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase","Resolvase, N terminal domain",128,6352,700,1.331860058637417e-49,1.176874804805379e-47,4.86
6307,6307,Competence protein,"Sigma-70, region 4",41,158,1376,7.523786642308587e-49,6.564107021224245e-47,3.74
6308,6308,Domain of unknown function (DUF4131),"Sigma-70, region 4",41,158,1376,7.523786642308587e-49,6.564107021224245e-47,3.74
1699,1699,Tetratricopeptide repeat,TolA binding protein trimerisation,35,1407,90,8.583243500023437e-49,7.456963271007757e-47,3.58
136,136,BspA type Leucine rich repeat region (6 copies),Leucine Rich Repeat,79,1981,756,1.5081142080612124e-48,1.3047396435180623e-46,4.38
518,518,Prealbumin-like fold domain,Spy0128-like isopeptide containing domain,40,694,287,7.009186328463611e-48,6.0387060714017555e-46,3.71
339,339,His Kinase A (phospho-acceptor) domain,Recombinase,108,4527,708,7.332356061315347e-48,6.290918102896991e-46,4.69
636,636,Outer membrane protein beta-barrel family,TonB dependent receptor,22,54,276,1.623705985056449e-47,1.3816201091774565e-45,3.14
1639,1639,CarboxypepD_reg-like domain,TonB-dependent Receptor Plug Domain,22,54,286,3.65736135392997e-47,3.099313963738115e-45,3.14
7237,7237,Coiled stalk of trimeric autotransporter adhesin,PE family,35,627,203,4.958689105492e-47,4.1849312095615545e-45,3.58
974,974,"Mycoplasma protein of unknown function, DUF285",Secretion system C-terminal sorting domain,70,823,1403,6.146267754301902e-47,5.166112941288636e-45,4.26
521,521,LPXTG cell wall anchor motif,Prealbumin-like fold domain,48,577,694,3.0491439451275926e-46,2.552516168153977e-44,3.89
7232,7232,PGRS repeats,YadA-like membrane anchor domain,32,163,582,4.1537111522070475e-46,3.463156673152626e-44,3.5
1174,1174,"Sigma-70 factor, region 1.2",Sigma-70 region 2,40,162,1441,6.199027815625418e-46,5.127091925747471e-44,3.71
1643,1643,CarboxypepD_reg-like domain,TonB dependent receptor,21,54,276,7.143888914699366e-45,5.79271337604858e-43,3.09
4306,4306,Histidine kinase,Tetratricopeptide repeat,72,960,1407,1.871623629460528e-44,1.5117016322795052e-42,4.29
340,340,His Kinase A (phospho-acceptor) domain,"Resolvase, N terminal domain",103,4527,700,2.989871082367267e-44,2.4055083412493378e-42,4.64
1012,1012,FecR protein,"FecR, C-terminal",24,218,139,6.014113844494451e-44,4.819915967543092e-42,3.22
3273,3273,Domain of unknown function (DUF4143),UvrD-like helicase C-terminal domain,48,466,967,6.75404669737565e-44,5.392024075738854e-42,3.89
4640,4640,"BRO family, N-terminal domain",ORF6C domain,16,60,57,4.2243574287842425e-43,3.346629829692405e-41,2.83
3512,3512,Centromere-binding protein HTH domain,KorB domain,26,228,212,7.227521163426601e-43,5.703948667792818e-41,3.3
7231,7231,PE family,YadA-like membrane anchor domain,32,203,582,8.100033664422744e-43,6.368227987804907e-41,3.5
12592,12592,3'-5' exonuclease,DNA polymerase family A,22,149,149,1.3324325764301637e-42,1.0435874387441852e-40,3.14
9116,9116,Centromere-binding protein HTH domain,HTH domain found in ParB protein,42,228,1445,2.5525319120992416e-42,1.9916491451500383e-40,3.76
143,143,BspA type Leucine rich repeat region (6 copies),Calx-beta domain,57,1981,413,4.390013678352715e-42,3.412492963432296e-40,4.06
598,598,HhH-GPD superfamily base excision DNA repair protein,R3H domain,30,152,681,2.580851661966829e-41,1.969161247767089e-39,3.43
328,328,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",Recombinase zinc beta ribbon domain,82,6352,345,4.111578314722504e-41,3.125555324026368e-39,4.42
6045,6045,Transposase IS66 family,zinc-finger of transposase IS204/IS1001/IS1096/IS1165,20,132,123,7.802758060230064e-41,5.90980323851198e-39,3.04
1178,1178,"Sigma-70 factor, region 1.2","Sigma-70, region 4",36,162,1376,2.2205437562028453e-40,1.6757001185038774e-38,3.61
15766,15766,DEAD_2,Helicase C-terminal domain,18,50,207,3.29005540414584e-40,2.473762748782674e-38,2.94
6043,6043,Helix-turn-helix domain of transposase family ISL3,Transposase IS66 family,19,102,132,4.681899041034963e-40,3.5075226982420263e-38,3.0
1164,1164,CRISPR-associated protein (Cas_Cas2CT1978),DEAD/DEAH box helicase,82,265,8905,6.641746656974627e-40,4.957812116471637e-38,4.42
477,477,HNH endonuclease,RRXRR protein,181,21075,516,7.233612628995476e-40,5.380194544235232e-38,5.2
5537,5537,"Bacterial regulatory proteins, lacI family",Glycosyl transferases group 1,31,405,316,8.682314298808555e-40,6.434559597005895e-38,3.47
7243,7243,Extended Signal Peptide of Type V secretion system,PGRS repeats,27,462,163,1.09956581243355e-39,8.119900822745898e-38,3.33
7885,7885,Leucine Rich Repeat,Leucine Rich repeats (2 copies),36,756,298,1.4685470303598742e-39,1.0806102116281536e-37,3.61
9339,9339,ParB/Sulfiredoxin domain,RepB plasmid partitioning protein,32,1944,86,1.6318562832325413e-39,1.1965210059716047e-37,3.5
345,345,Bridge helix of CRISPR-associated endonuclease Cas9,RuvC endonuclease subdomain 3,335,1651,16288,5.7507885510247575e-39,4.186938551744328e-37,5.82
1171,1171,CRISPR-associated protein (Cas_Cas2CT1978),"Cas3, HD domain",69,265,6232,4.390426456152891e-38,3.1741555186669e-36,4.25
9115,9115,HTH domain found in ParB protein,KorB domain,38,1445,212,5.992995134894758e-38,4.317671094223656e-36,3.66
6041,6041,zinc-finger binding domain of transposase IS66,zinc-finger of transposase IS204/IS1001/IS1096/IS1165,18,108,123,1.2291293152919663e-37,8.76369201803172e-36,2.94
4007,4007,"Bacterial regulatory proteins, lacI family",Periplasmic binding proteins and sugar binding domain of LacI family,25,405,160,1.303274180809053e-37,9.260412452436007e-36,3.26
7242,7242,Extended Signal Peptide of Type V secretion system,PE family,27,462,203,5.96730420244278e-37,4.2111245390412744e-35,3.33
408,408,"Diguanylate cyclase, GGDEF domain",His Kinase A (phospho-acceptor) domain,213,2991,4527,6.7611473748157686e-37,4.7551103492879465e-35,5.37
10420,10420,Transposase,Transposase IS116/IS110/IS902 family,24,335,174,8.618299999805358e-37,6.040697935456792e-35,3.22
13224,13224,Integrase,"Phage integrase, N-terminal",16,101,77,1.0461679011312605e-36,7.234653408592332e-35,2.83
6039,6039,Helix-turn-helix domain of transposase family ISL3,zinc-finger binding domain of transposase IS66,17,102,108,1.2574000222373022e-36,8.666420086600233e-35,2.89
9330,9330,"Bacterial regulatory proteins, tetR family","BetI-type transcriptional repressor, C-terminal",17,392,34,2.6956107457379533e-36,1.8517323385257027e-34,2.89
1705,1705,"Type II secretion system (T2SS), protein I",Type II transport protein GspH,16,67,124,2.9171262009250823e-36,1.9972655118055597e-34,2.83
138,138,BspA type Leucine rich repeat region (6 copies),Leucine rich repeat,55,1981,482,3.229955746096298e-36,2.204151648911985e-34,4.03
411,411,"Bacterial regulatory proteins, luxR family",Response regulator receiver domain,85,639,4193,7.578972460948699e-36,5.1380463467225e-34,4.45
3520,3520,HAMP domain,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",206,2068,6352,7.674821119097305e-36,5.186022100639705e-34,5.33
6044,6044,Transposase,Transposase IS66 family,22,335,132,9.295909029508044e-36,6.2609612704605165e-34,3.14
