,Label1,Label2,Count
133,BspA type Leucine rich repeat region (6 copies),Divergent InlB B-repeat domain,61
134,BspA type Leucine rich repeat region (6 copies),Fibronectin type III domain,37
135,BspA type Leucine rich repeat region (6 copies),Leucine Rich repeats (2 copies),16
136,BspA type Leucine rich repeat region (6 copies),Leucine Rich Repeat,79
137,BspA type Leucine rich repeat region (6 copies),Leucine rich repeat N-terminal domain,42
138,BspA type Leucine rich repeat region (6 copies),Leucine rich repeat,55
139,BspA type Leucine rich repeat region (6 copies),Protein of unknown function (DUF1194),3
140,BspA type Leucine rich repeat region (6 copies),Secretion system C-terminal sorting domain,146
141,BspA type Leucine rich repeat region (6 copies),"Mycoplasma protein of unknown function, DUF285",111
142,BspA type Leucine rich repeat region (6 copies),Right handed beta helix region,18
143,BspA type Leucine rich repeat region (6 copies),Calx-beta domain,57
144,Family of unknown function (DUF6017),N-terminal phage replisome organiser (Phage_rep_org_N),4
145,Family of unknown function (DUF6017),Replication initiation and membrane attachment,5
146,Family of unknown function (DUF6017),ROS/MUCR transcriptional regulator protein,2
147,Family of unknown function (DUF6017),Winged helix-turn-helix DNA-binding,2
148,Family of unknown function (DUF6017),Family of unknown function (DUF6017),4
149,Family of unknown function (DUF6017),Replication initiator protein A (RepA) N-terminus,8
150,N-terminal phage replisome organiser (Phage_rep_org_N),Replication initiator protein A (RepA) N-terminus,4
151,Replication initiation and membrane attachment,Replication initiator protein A (RepA) N-terminus,7
152,ROS/MUCR transcriptional regulator protein,Replication initiator protein A (RepA) N-terminus,2
153,Replication initiator protein A (RepA) N-terminus,Winged helix-turn-helix DNA-binding,2
154,Replication initiator protein A (RepA) N-terminus,Replication initiator protein A (RepA) N-terminus,4
155,HD domain,"Type III restriction enzyme, res subunit",52
156,DEAD/DEAH box helicase,"Type III restriction enzyme, res subunit",520
157,Helicase conserved C-terminal domain,"Type III restriction enzyme, res subunit",442
158,Bacteriophage abortive infection AbiH,"Type III restriction enzyme, res subunit",2
159,"Cas3, HD domain","Type III restriction enzyme, res subunit",350
160,"Type III restriction enzyme, res subunit","Type III restriction enzyme, res subunit",29
161,"CRISPR-associated nuclease/helicase Cas3, I-F/YPEST, Cas2 domain","Type III restriction enzyme, res subunit",6
162,"Type III restriction enzyme, res subunit","Uncharacterised protein, DegV family COG1307",6
163,HD domain,HD domain,595
164,DEAD/DEAH box helicase,HD domain,419
165,HD domain,Helicase conserved C-terminal domain,320
166,Bacteriophage abortive infection AbiH,HD domain,5
167,"Cas3, HD domain",HD domain,257
168,"CRISPR-associated nuclease/helicase Cas3, I-F/YPEST, Cas2 domain",HD domain,11
169,HD domain,"Uncharacterised protein, DegV family COG1307",5
170,AAA+ lid domain,"DNA polymerase III, delta subunit",10
171,AAA+ lid domain,DNA polymerase III subunits gamma and tau domain III,4
172,AAA+ lid domain,DNA topoisomerase,2
173,AAA+ lid domain,C-terminal repeat of topoisomerase,2
174,AAA+ lid domain,"Translation initiation factor IF-3, N-terminal domain",2
175,AAA+ lid domain,"Translation initiation factor IF-3, C-terminal domain",2
176,AAA+ lid domain,"DNA polymerase III delta subunit, C-terminal domain",6
177,"DNA polymerase III, delta subunit",Peptidase family M41,6
178,DNA polymerase III subunits gamma and tau domain III,Peptidase family M41,2
179,DNA topoisomerase,Peptidase family M41,2
180,C-terminal repeat of topoisomerase,Peptidase family M41,2
181,Peptidase family M41,"Translation initiation factor IF-3, N-terminal domain",2
182,Peptidase family M41,"Translation initiation factor IF-3, C-terminal domain",2
183,"DNA polymerase III delta subunit, C-terminal domain",Peptidase family M41,4
184,ATPase family associated with various cellular activities (AAA),"DNA polymerase III, delta subunit",15
185,ATPase family associated with various cellular activities (AAA),DNA polymerase III subunits gamma and tau domain III,6
186,ATPase family associated with various cellular activities (AAA),DNA topoisomerase,2
187,ATPase family associated with various cellular activities (AAA),C-terminal repeat of topoisomerase,2
188,ATPase family associated with various cellular activities (AAA),"Translation initiation factor IF-3, N-terminal domain",6
189,ATPase family associated with various cellular activities (AAA),"Translation initiation factor IF-3, C-terminal domain",6
190,ATPase family associated with various cellular activities (AAA),"DNA polymerase III delta subunit, C-terminal domain",9
191,Actin like proteins N terminal domain,CRISPR associated protein Cas1,49
192,"Archaeal actin homologue MreB-like, C-terminal",CRISPR associated protein Cas1,49
193,CRISPR associated protein Cas1,Reverse transcriptase (RNA-dependent DNA polymerase),296
194,CRISPR associated protein Cas1,CRISPR associated protein Cas1,203
195,Actin like proteins N terminal domain,Reverse transcriptase (RNA-dependent DNA polymerase),45
196,"Archaeal actin homologue MreB-like, C-terminal",Reverse transcriptase (RNA-dependent DNA polymerase),45
197,Reverse transcriptase (RNA-dependent DNA polymerase),Reverse transcriptase (RNA-dependent DNA polymerase),176
198,HNH endonuclease,HNH endonuclease,5247
199,HNH endonuclease,REC lobe of CRISPR-associated endonuclease Cas9,1760
200,HNH endonuclease,PAM-interacting domain of CRISPR-associated endonuclease Cas9,1515
201,Bridge helix of CRISPR-associated endonuclease Cas9,HNH endonuclease,540
202,Cas9 alpha-helical lobe domain,HNH endonuclease,1763
203,HNH endonuclease,RuvC endonuclease subdomain 3,7900
204,PAM-interacting domain of CRISPR-associated endonuclease Cas9,REC lobe of CRISPR-associated endonuclease Cas9,586
205,PAM-interacting domain of CRISPR-associated endonuclease Cas9,PAM-interacting domain of CRISPR-associated endonuclease Cas9,351
206,Bridge helix of CRISPR-associated endonuclease Cas9,PAM-interacting domain of CRISPR-associated endonuclease Cas9,97
207,Cas9 alpha-helical lobe domain,PAM-interacting domain of CRISPR-associated endonuclease Cas9,56
208,PAM-interacting domain of CRISPR-associated endonuclease Cas9,RuvC endonuclease subdomain 3,670
209,REC lobe of CRISPR-associated endonuclease Cas9,REC lobe of CRISPR-associated endonuclease Cas9,501
210,Bridge helix of CRISPR-associated endonuclease Cas9,REC lobe of CRISPR-associated endonuclease Cas9,421
211,Cas9 alpha-helical lobe domain,REC lobe of CRISPR-associated endonuclease Cas9,117
212,REC lobe of CRISPR-associated endonuclease Cas9,RuvC endonuclease subdomain 3,909
213,Bacterial Ig-like domain (group 2),Spi protease inhibitor,6
214,Bacterial Ig-like domain (group 2),Peptidase C10 family,6
215,Bacterial Ig-like domain (group 2),"Putative binding domain, N-terminal",11
216,Bacterial Ig-like domain (group 2),Viral BACON domain,11
217,Bacterial Ig-like domain (group 2),CUB domain,2
218,Bacterial Ig-like domain (group 2),S-layer homology domain,14
219,Bacterial Ig-like domain (group 2),Bacterial Ig-like domain (group 2),10
220,Bacterial Ig-like domain (group 2),"Bacterial surface protein, Ig-like domain",8
221,BspA type Leucine rich repeat region (6 copies),Spi protease inhibitor,15
222,BspA type Leucine rich repeat region (6 copies),Peptidase C10 family,15
223,BspA type Leucine rich repeat region (6 copies),"Putative binding domain, N-terminal",16
224,BspA type Leucine rich repeat region (6 copies),Viral BACON domain,20
225,BspA type Leucine rich repeat region (6 copies),CUB domain,6
226,BspA type Leucine rich repeat region (6 copies),S-layer homology domain,54
227,"Bacterial surface protein, Ig-like domain",BspA type Leucine rich repeat region (6 copies),21
228,Branched-chain amino acid transport system / permease component,Voltage gated chloride channel,2
229,OPT oligopeptide transporter protein,Voltage gated chloride channel,2
230,"Iron dependent repressor, metal binding and dimerisation domain",Voltage gated chloride channel,2
231,"Iron dependent repressor, N-terminal DNA binding domain",Voltage gated chloride channel,2
232,ABC 3 transport family,Voltage gated chloride channel,2
233,FeoA domain,Voltage gated chloride channel,2
234,Type IV leader peptidase family,Voltage gated chloride channel,1
235,Bacterial Peptidase A24 N-terminal domain,Voltage gated chloride channel,1
236,Branched-chain amino acid transport system / permease component,CBS domain,2
237,CBS domain,OPT oligopeptide transporter protein,2
238,CBS domain,"Iron dependent repressor, metal binding and dimerisation domain",2
239,CBS domain,"Iron dependent repressor, N-terminal DNA binding domain",2
240,ABC 3 transport family,CBS domain,2
241,CBS domain,FeoA domain,2
242,CBS domain,Type IV leader peptidase family,1
243,Bacterial Peptidase A24 N-terminal domain,CBS domain,1
244,ADP-Ribosyltransferase in polyvalent proteins,Heterokaryon incompatibility protein Het-C,2
245,ADP-Ribosyltransferase in polyvalent proteins,PAAR motif,2
246,Heterokaryon incompatibility protein Het-C,Large polyvalent protein-associated domain 3,2
247,Large polyvalent protein-associated domain 3,PAAR motif,2
248,Heterokaryon incompatibility protein Het-C,Large polyvalent protein associated domain 23,2
249,Large polyvalent protein associated domain 23,PAAR motif,2
250,Helix-hairpin-helix motif,IclR helix-turn-helix domain,4
251,IclR helix-turn-helix domain,SLBB domain,2
252,IclR helix-turn-helix domain,Type II intron maturase,3
253,Cytochrome b/b6/petB,IclR helix-turn-helix domain,3
254,IclR helix-turn-helix domain,Reverse transcriptase (RNA-dependent DNA polymerase),3
255,Bacterial transcriptional regulator,Helix-hairpin-helix motif,2
256,Bacterial transcriptional regulator,SLBB domain,2
257,Bacterial transcriptional regulator,Type II intron maturase,3
258,Bacterial transcriptional regulator,Cytochrome b/b6/petB,3
259,Bacterial transcriptional regulator,Reverse transcriptase (RNA-dependent DNA polymerase),3
260,Nuclease domain,RuvC nuclease domain,413
261,Nuclease domain,Nuclease domain,163
262,CRISPR-associated endonuclease Cas9 alpha-helical lobe,Nuclease domain,53
263,HNH endonuclease,Nuclease domain,54
264,"Leucyl-tRNA synthetase, editing domain",Nuclease domain,7
265,RuvC nuclease domain,RuvC nuclease domain,275
266,CRISPR-associated endonuclease Cas9 alpha-helical lobe,RuvC nuclease domain,55
267,HNH endonuclease,RuvC nuclease domain,56
268,"Leucyl-tRNA synthetase, editing domain",RuvC nuclease domain,7
269,DEAD/DEAH box helicase,DEAD/DEAH box helicase,1690
270,DEAD/DEAH box helicase,Helicase conserved C-terminal domain,2932
271,"Cas3, HD domain",DEAD/DEAH box helicase,2191
272,Cas3 C-terminal domain,DEAD/DEAH box helicase,400
273,Helicase conserved C-terminal domain,Helicase conserved C-terminal domain,1318
274,"Cas3, HD domain",Helicase conserved C-terminal domain,1876
275,Cas3 C-terminal domain,Helicase conserved C-terminal domain,384
276,Sigma-70 region 2,"Sigma-70, region 4",605
277,Sigma-70 region 2,Sigma-70 region 2,313
278,Antitoxin Xre-like helix-turn-helix domain,Sigma-70 region 2,15
279,Antitoxin Xre/MbcA/ParS C-terminal toxin-binding domain,Sigma-70 region 2,15
280,Copper chaperone PCu(A)C,Sigma-70 region 2,13
281,Predicted metal-binding integral membrane protein (DUF2182),Sigma-70 region 2,13
282,"Sigma-70, region 4","Sigma-70, region 4",292
283,Antitoxin Xre-like helix-turn-helix domain,"Sigma-70, region 4",13
284,Antitoxin Xre/MbcA/ParS C-terminal toxin-binding domain,"Sigma-70, region 4",13
285,Copper chaperone PCu(A)C,"Sigma-70, region 4",13
286,Predicted metal-binding integral membrane protein (DUF2182),"Sigma-70, region 4",13
287,Domain of unknown function (DUF2436),Family of unknown function (DUF5689),1
288,Domain of unknown function (DUF2436),Viral BACON domain,1
289,Domain of unknown function (DUF2436),KxYKxGKxW signal peptide,2
290,Bacterial Ig-like domain (group 3),Domain of unknown function (DUF2436),2
291,Domain of unknown function (DUF2436),LPXTG cell wall anchor motif,2
292,Domain of unknown function (DUF2436),"Mycoplasma protein of unknown function, DUF285",2
293,Cleaved Adhesin Domain,Family of unknown function (DUF5689),1
294,Cleaved Adhesin Domain,Viral BACON domain,1
295,Cleaved Adhesin Domain,KxYKxGKxW signal peptide,2
296,Bacterial Ig-like domain (group 3),Cleaved Adhesin Domain,2
297,Cleaved Adhesin Domain,LPXTG cell wall anchor motif,2
298,Cleaved Adhesin Domain,"Mycoplasma protein of unknown function, DUF285",2
299,Cohesin domain,Family of unknown function (DUF5689),1
300,Cohesin domain,Viral BACON domain,3
301,Cohesin domain,KxYKxGKxW signal peptide,6
302,Bacterial Ig-like domain (group 3),Cohesin domain,2
303,Cohesin domain,LPXTG cell wall anchor motif,2
304,Cohesin domain,"Mycoplasma protein of unknown function, DUF285",5
305,"CRISPR-associated nuclease/helicase Cas3, I-F/YPEST, Cas2 domain",Helicase conserved C-terminal domain,35
306,Alpha helical recognition lobe domain,RuvC nuclease domain,276
307,Alpha helical recognition lobe domain,Nuclease domain,177
308,"Mechanosensitive ion channel MscS, C-terminal",RNA pseudouridylate synthase,2
309,"Mechanosensitive ion channel, beta-domain",RNA pseudouridylate synthase,2
310,"Mechanosensitive ion channel MscS, C-terminal",S4 domain,2
311,"Mechanosensitive ion channel, beta-domain",S4 domain,2
312,Pre-toxin TG,Tape measure protein,2
313,Proteins of 100 residues with WXG,Tape measure protein,2
314,CW_7 repeat,Pre-toxin TG,2
315,CW_7 repeat,Proteins of 100 residues with WXG,2
316,His Kinase A (phospho-acceptor) domain,Response regulator receiver domain,371
317,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",Response regulator receiver domain,489
318,PAS domain,Response regulator receiver domain,371
319,Recombinase,Response regulator receiver domain,16
320,"Resolvase, N terminal domain",Response regulator receiver domain,16
321,Recombinase zinc beta ribbon domain,Response regulator receiver domain,8
322,PAS fold,Response regulator receiver domain,494
323,His Kinase A (phospho-acceptor) domain,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",804
324,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase","Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",578
325,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",PAS domain,507
326,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",Recombinase,154
327,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase","Resolvase, N terminal domain",128
328,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",Recombinase zinc beta ribbon domain,82
329,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",PAS fold,586
330,His Kinase A (phospho-acceptor) domain,Hpt domain,29
331,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",Hpt domain,35
332,Hpt domain,PAS domain,18
333,Hpt domain,Recombinase,10
334,Hpt domain,"Resolvase, N terminal domain",10
335,Hpt domain,Recombinase zinc beta ribbon domain,4
336,Hpt domain,PAS fold,23
337,His Kinase A (phospho-acceptor) domain,His Kinase A (phospho-acceptor) domain,285
338,His Kinase A (phospho-acceptor) domain,PAS domain,404
339,His Kinase A (phospho-acceptor) domain,Recombinase,108
340,His Kinase A (phospho-acceptor) domain,"Resolvase, N terminal domain",103
341,His Kinase A (phospho-acceptor) domain,Recombinase zinc beta ribbon domain,54
342,His Kinase A (phospho-acceptor) domain,PAS fold,442
343,RuvC endonuclease subdomain 3,RuvC endonuclease subdomain 3,3246
344,Cas9 alpha-helical lobe domain,RuvC endonuclease subdomain 3,1523
345,Bridge helix of CRISPR-associated endonuclease Cas9,RuvC endonuclease subdomain 3,335
346,Helicase conserved C-terminal domain,"Type I restriction enzyme HindI endonuclease subunit-like, C-terminal",26
347,Helicase conserved C-terminal domain,SWI2/SNF2 ATPase,26
348,DEAD/DEAH box helicase,"Type I restriction enzyme HindI endonuclease subunit-like, C-terminal",19
349,DEAD/DEAH box helicase,SWI2/SNF2 ATPase,19
350,Putative cell wall binding repeat,SusD family,18
351,Choline-binding repeat,SusD family,18
352,GDSL-like Lipase/Acylhydrolase family,SusD family,5
353,Putative cell wall binding repeat,Starch-binding associating with outer membrane,18
354,Choline-binding repeat,Starch-binding associating with outer membrane,18
355,GDSL-like Lipase/Acylhydrolase family,Starch-binding associating with outer membrane,5
356,"Sigma-70, region 4",von Willebrand factor type A domain,2
357,MucBP domain,"Sigma-70, region 4",2
358,BspA type Leucine rich repeat region (6 copies),von Willebrand factor type A domain,7
359,BspA type Leucine rich repeat region (6 copies),MucBP domain,5
360,Sigma-70 region 2,von Willebrand factor type A domain,2
361,MucBP domain,Sigma-70 region 2,2
362,"Bacterial regulatory helix-turn-helix protein, lysR family",PRD domain,25
363,"Bacterial regulatory helix-turn-helix protein, lysR family",HTH domain,11
364,"Bacterial regulatory helix-turn-helix protein, lysR family","Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2",20
365,"Bacterial regulatory helix-turn-helix protein, lysR family",DeoR-like helix-turn-helix domain,5
366,"Bacterial regulatory helix-turn-helix protein, lysR family",Mga helix-turn-helix domain,6
367,"Bacterial regulatory helix-turn-helix protein, lysR family",LytTr DNA-binding domain,8
368,"Bacterial regulatory helix-turn-helix protein, lysR family",Response regulator receiver domain,14
369,"Aminoglycoside adenylyltransferase, C-terminal domain","Bacterial regulatory helix-turn-helix protein, lysR family",4
370,"Bacterial regulatory helix-turn-helix protein, lysR family",Nucleotidyltransferase domain,4
371,LysR substrate binding domain,PRD domain,25
372,HTH domain,LysR substrate binding domain,11
373,LysR substrate binding domain,"Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2",20
374,DeoR-like helix-turn-helix domain,LysR substrate binding domain,5
375,LysR substrate binding domain,Mga helix-turn-helix domain,6
376,LysR substrate binding domain,LytTr DNA-binding domain,8
377,LysR substrate binding domain,Response regulator receiver domain,14
378,"Aminoglycoside adenylyltransferase, C-terminal domain",LysR substrate binding domain,4
379,LysR substrate binding domain,Nucleotidyltransferase domain,4
380,RimM N-terminal domain,RimM N-terminal domain,2
381,PRC-barrel domain,RimM N-terminal domain,4
382,Putative metallopeptidase domain,RimM N-terminal domain,2
383,RimM N-terminal domain,VWA-like domain (DUF2201),2
384,PRC-barrel domain,PRC-barrel domain,2
385,PRC-barrel domain,Putative metallopeptidase domain,2
386,PRC-barrel domain,VWA-like domain (DUF2201),2
387,Bacterial Ig-like domain (group 2),Camelysin metallo-endopeptidase,4
388,Bacterial Ig-like domain (group 2),Listeria-Bacteroides repeat domain (List_Bact_rpt),26
389,Bacterial Ig-like domain (group 2),Repeat of unknown function (DUF5648),2
390,Bacterial Ig-like domain (group 2),Domain of unknown function (DUF4347),2
391,BspA type Leucine rich repeat region (6 copies),Camelysin metallo-endopeptidase,6
