	Label1	Label2	Count	Label1_Count	Label2_Count	Normalization_Factor	Count_normalized
4647	Integrase zinc binding domain	RNase H-like domain found in reverse transcriptase	46	23.0	19.0	20.904544960366874	2.200478416880723
4693	HTH domain found in ParB protein	Helix-turn-helix	37	52.0	55.0	53.47896782848375	0.6918607726062582
4694	Helix-turn-helix	ParB/Sulfiredoxin domain	43	55.0	88.0	69.57010852370435	0.6180815426692741
4754	Competence protein	Sigma-70, region 4	33	6.0	67.0	20.049937655763422	1.6458904045775942
4755	Domain of unknown function (DUF4131)	Sigma-70, region 4	33	6.0	67.0	20.049937655763422	1.6458904045775942
4756	Competence protein	Sigma-70 region 2	35	6.0	67.0	20.049937655763422	1.7456413381883575
4757	Domain of unknown function (DUF4131)	Sigma-70 region 2	35	6.0	67.0	20.049937655763422	1.7456413381883575
4902	Bacterial regulatory proteins, tetR family	Tetracyclin repressor-like, C-terminal domain	100	30.0	22.0	25.69046515733026	3.8924947208076146
4907	Tn7-like transposition protein D	TniQ	52	21.0	23.0	21.97726097583591	2.3660819270051086
4926	CRISPR-associated nuclease/helicase Cas3, I-F/YPEST, Cas2 domain	DEAD/DEAH box helicase	31	7.0	223.0	39.50949253027682	0.7846215685064584
4940	PAS domain	PAS fold	322	59.0	82.0	69.55573304911681	4.629381157878382
4943	HAMP domain	PAS domain	52	51.0	59.0	54.85435260760991	0.9479648838802642
4985	EAL domain	His Kinase A (phospho-acceptor) domain	91	39.0	116.0	67.26068688320095	1.3529448510988697
4986	EAL domain	PAS domain	102	39.0	59.0	47.968739820845826	2.1263848160479246
4987	EAL domain	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	113	39.0	180.0	83.78544026261365	1.3486830127742653
4988	EAL domain	PAS fold	157	39.0	82.0	56.55086206239477	2.776261833582232
5075	HipA N-terminal domain	HipA-like C-terminal domain	98	45.0	45.0	45.0	2.1777777777777776
5452	Extended Signal Peptide of Type V secretion system	YadA-like membrane anchor domain	66	16.0	20.0	17.88854381999832	3.689512162874653
5453	Coiled stalk of trimeric autotransporter adhesin	YadA-like membrane anchor domain	99	21.0	20.0	20.493901531919196	4.830705361095239
5455	YadA head domain repeat (2 copies)	YadA-like membrane anchor domain	65	11.0	20.0	14.832396974191326	4.382299106011073
5459	Coiled stalk of trimeric autotransporter adhesin	Extended Signal Peptide of Type V secretion system	72	21.0	16.0	18.33030277982336	3.927922024247863
5461	Coiled stalk of trimeric autotransporter adhesin	YadA head domain repeat (2 copies)	72	21.0	11.0	15.198684153570664	4.737252203710336
5466	Extended Signal Peptide of Type V secretion system	YadA head domain repeat (2 copies)	42	16.0	11.0	13.2664991614216	3.165869118066518
5731	CHASE domain	PAS fold	34	7.0	82.0	23.958297101421877	1.4191325809204598
5756	TPR repeat	Tetratricopeptide repeat	88	23.0	83.0	43.69210454990696	2.014093871341965
5805	Cache domain	ParB/Sulfiredoxin domain	31	17.0	88.0	38.67815921162743	0.8014859194922797
5807	Cache domain	HAMP domain	137	17.0	51.0	29.444863728670914	4.652763934057573
5808	Cache domain	Methyl-accepting chemotaxis protein (MCP) signalling domain	151	17.0	33.0	23.68543856465402	6.375224996903311
5810	HTH domain found in ParB protein	Methyl-accepting chemotaxis protein (MCP) signalling domain	31	52.0	33.0	41.42463035441596	0.7483470518571647
5812	HAMP domain	Methyl-accepting chemotaxis protein (MCP) signalling domain	318	51.0	33.0	41.02438299353203	7.751487695747585
5814	HAMP domain	HTH domain found in ParB protein	30	51.0	52.0	51.49757275833493	0.582551728035463
6592	Four helix bundle sensory module for signal transduction	Methyl-accepting chemotaxis protein (MCP) signalling domain	44	4.0	33.0	11.489125293076057	3.8297084310253524
6596	Four helix bundle sensory module for signal transduction	HAMP domain	36	4.0	51.0	14.2828568570857	2.5205041512504174
6988	HTH domain found in ParB protein	KorB domain	30	52.0	15.0	27.92848008753788	1.0741723110591495
7761	DEAD/DEAH box helicase	Helicase C-terminal domain	44	223.0	11.0	49.52776998815917	0.8883904930611509
8697	PPE family	Pentapeptide repeats (8 copies)	90	9.0	20.0	13.416407864998739	6.7082039324993685
8927	Collagen triple helix repeat (20 copies)	LPXTG cell wall anchor motif	85	27.0	32.0	29.393876913398138	2.8917587241190295
8957	Leucine Rich Repeat	Leucine rich repeat	41	35.0	26.0	30.166206257996713	1.3591367654701816
